Forecast time,forecast,Temperature,rain,snow,Humidity,WindSpeed,WindDirection,Cloud
2021-12-01 11:00:00,4.0,5.0,,,40.0,2.9,272.0,4.0
2021-12-01 11:00:00,7.0,2.0,0.0,0.0,60.0,1.4,309.0,4.0
2021-12-01 11:00:00,10.0,0.0,,,70.0,1.7,287.0,4.0
2021-12-01 11:00:00,13.0,0.0,0.0,0.0,65.0,2.8,268.0,1.0
2021-12-01 11:00:00,16.0,-1.0,,,65.0,3.0,312.0,1.0
2021-12-01 11:00:00,19.0,-1.0,0.0,0.0,65.0,3.4,323.0,4.0
2021-12-01 11:00:00,22.0,1.0,,,55.0,3.3,315.0,4.0
2021-12-01 11:00:00,25.0,4.0,0.0,0.0,35.0,4.0,314.0,3.0
2021-12-01 11:00:00,28.0,5.0,,,25.0,4.5,312.0,1.0
2021-12-01 11:00:00,31.0,0.0,0.0,0.0,35.0,1.9,309.0,1.0
2021-12-01 11:00:00,34.0,-1.0,,,30.0,3.7,299.0,1.0
2021-12-01 11:00:00,37.0,-3.0,0.0,0.0,35.0,5.4,304.0,1.0
2021-12-01 11:00:00,40.0,-3.0,,,35.0,5.3,306.0,4.0
2021-12-01 11:00:00,43.0,-3.0,0.0,0.0,25.0,5.7,309.0,4.0
2021-12-01 11:00:00,46.0,-2.0,,,30.0,5.5,307.0,4.0
2021-12-01 11:00:00,49.0,2.0,0.0,0.0,25.0,6.3,307.0,1.0
2021-12-01 11:00:00,52.0,4.0,,,20.0,5.1,310.0,1.0
2021-12-01 11:00:00,55.0,1.0,0.0,0.0,25.0,3.6,306.0,3.0
2021-12-01 11:00:00,58.0,0.0,,,25.0,4.2,306.0,3.0
2021-12-01 11:00:00,61.0,-1.0,0.0,0.0,25.0,4.5,311.0,3.0
2021-12-01 14:00:00,4.0,2.0,0.0,0.0,60.0,1.4,309.0,4.0
2021-12-01 14:00:00,7.0,0.0,,,70.0,1.7,287.0,4.0
2021-12-01 14:00:00,10.0,0.0,0.0,0.0,65.0,2.8,268.0,1.0
